""
Country,Visitors per Year (Millions),Attraction Rating (Stars),Population (Millions)
France,89.4,4.7,65
Spain,83.7,4.5,47
United States,79.3,4.8,331
China,65.7,4.2,1438
Italy,64.5,4.6,60
Turkey,51.2,4.1,84
Mexico,45.0,4.3,128
Thailand,39.8,4.4,70
Germany,38.9,4.5,83
United Kingdom,36.3,4.7,66
Japan,31.2,4.6,126
Austria,30.8,4.2,9
Greece,30.1,4.3,10
Russia,28.5,4.0,145
Canada,22.1,4.7,38
Portugal,21.2,4.5,10
Netherlands,20.0,4.4,17
Saudi Arabia,19.2,4.1,34
Switzerland,18.4,4.6,8
South Korea,17.5,4.3,51
""
