""
Disorder,Prevalence (%),Average Treatment Cost (USD),Economic Burden (Billion USD)
Depression,4.4,800,210
Anxiety,3.6,600,250
Schizophrenia,0.3,5000,155
Bipolar Disorder,1.0,3000,200
PTSD,1.9,700,120
OCD,1.2,1500,100
Eating Disorders,1.5,2500,90
Substance Use Disorder,3.0,2000,450
ADHD,5.0,1000,180
Autism Spectrum Disorder,1.7,2500,60
Alzheimer's Disease,0.6,4500,290
Parkinson's Disease,0.3,2500,100
Sleep Disorders,4.0,500,70
Personality Disorders,1.5,2000,50
Panic Disorder,1.0,800,40
Borderline Personality Disorder,1.6,1500,35
Hoarding Disorder,2.5,700,25
Phobias,3.2,400,30
""
