""
Department,Course,AverageScore,HoursStudy
Economics,Microeconomics,89,13
Economics,Macroeconomics,87,15
Finance,Investment Analysis,93,12
Finance,Corporate Finance,90,14
Accounting,Financial Accounting,88,10
Accounting,Managerial Accounting,85,12
Statistics,Probability Theory,92,11
Statistics,Statistical Inference,90,13
Banking,Banking Operations,87,14
Banking,Risk Management,91,12
Insurance,Life Insurance,89,10
Insurance,Property Insurance,90,12
Taxation,Tax Law,88,11
Taxation,Tax Planning,87,13
Auditing,Internal Auditing,92,14
Auditing,External Auditing,94,15
""
