""
Country,Protein Intake (g/day),Caloric Intake (kcal/day),Population (Millions)
United States,91,3682,331
China,85,2990,1438
Japan,89,2800,126
Germany,92,3500,83
India,55,2230,1367
United Kingdom,88,3450,66
France,90,3460,65
Brazil,72,3010,213
Italy,89,3370,60
Canada,91,3550,38
Russia,77,3100,145
South Korea,88,3000,51
Spain,87,3300,47
Australia,91,3450,25
Mexico,78,2800,128
Indonesia,60,2600,273
Netherlands,92,3400,17
Saudi Arabia,75,3200,34
Turkey,80,2950,84
Switzerland,91,3500,8
Norway,93,3600,5
Sweden,92,3400,10
Denmark,91,3350,6
""
