""
Activity,Participants,Events,Popularity
Yoga,200,3000,5000
Meditation,180,2500,4500
Running,300,3500,4800
Cycling,250,3300,4700
Hiking,150,2700,4600
Weightlifting,130,2000,4200
Cardio Workouts,280,3100,4900
Pilates,100,2200,4300
CrossFit,90,2400,4400
Boxing,70,2100,4100
Zumba,60,1800,4000
Dancing,110,2600,4500
Swimming,170,2800,4600
Martial Arts,80,2300,4200
Tai Chi,60,1700,3900
Rowing,50,1600,3800
Rock Climbing,40,1500,3700
Skating,45,1400,3600
Skiing,35,1300,3500
Snowboarding,30,1200,3400
""
