""
Country,Medals_Won,Population_Millions,Participation_Rate,Total_Athletes
USA,113,331,90,613
China,88,1441,45,406
Japan,58,126,85,552
Germany,46,83,80,434
India,7,1380,25,120
UK,65,68,88,376
France,33,67,82,383
Italy,40,60,78,371
Brazil,21,212,65,302
Canada,24,38,88,371
Russia,71,146,77,335
South_Korea,20,52,90,206
Australia,46,25,92,296
Spain,17,47,80,322
Mexico,10,128,55,115
Indonesia,5,273,23,71
Netherlands,36,17,88,286
Saudi_Arabia,2,35,38,47
Turkey,13,84,70,190
Switzerland,14,9,85,108
""
