Date,Sales
01-Jan-2023,157
02-Jan-2023,123
03-Jan-2023,165
04-Jan-2023,189
05-Jan-2023,210
06-Jan-2023,198
07-Jan-2023,175
08-Jan-2023,160
09-Jan-2023,190
10-Jan-2023,220
11-Jan-2023,230
12-Jan-2023,225
13-Jan-2023,208
14-Jan-2023,170
15-Jan-2023,130
16-Jan-2023,245
17-Jan-2023,255
18-Jan-2023,240
19-Jan-2023,215
20-Jan-2023,225
21-Jan-2023,210
22-Jan-2023,180
23-Jan-2023,190
24-Jan-2023,205
25-Jan-2023,215
26-Jan-2023,230
27-Jan-2023,220
28-Jan-2023,210
29-Jan-2023,205
30-Jan-2023,200
31-Jan-2023,195
01-Feb-2023,205
02-Feb-2023,220
03-Feb-2023,230
04-Feb-2023,240
05-Feb-2023,235
06-Feb-2023,225
07-Feb-2023,215
08-Feb-2023,205
09-Feb-2023,195
10-Feb-2023,210
11-Feb-2023,220
12-Feb-2023,225
13-Feb-2023,190
14-Feb-2023,185
15-Feb-2023,180
16-Feb-2023,190
17-Feb-2023,200
18-Feb-2023,195
19-Feb-2023,210
20-Feb-2023,205
21-Feb-2023,215
22-Feb-2023,220
23-Feb-2023,230
24-Feb-2023,240
25-Feb-2023,250
26-Feb-2023,260
27-Feb-2023,255
28-Feb-2023,245
