Age Bracket,Caffeine Intake (mg)
18-24, 80
18-24, 250
18-24, 90
18-24, 120
18-24, 110
25-34, 300
25-34, 80
25-34, 220
25-34, 150
25-34, 170
35-44, 85
35-44, 130
35-44, 250
35-44, 200
35-44, 190
45-54, 60
45-54, 160
45-54, 120
45-54, 250
45-54, 110
55-64, 75
55-64, 100
55-64, 200
55-64, 150
55-64, 130
65+, 50
65+, 80
65+, 90
65+, 120
65+, 60
65+, 70
65+, 65
65+, 95
65+, 55
65+, 45
18-24, 145
18-24, 230
18-24, 180
18-24, 200
18-24, 160
25-34, 210
25-34, 180
25-34, 190
25-34, 260
25-34, 220
35-44, 85
35-44, 90
35-44, 180
35-44, 220
35-44, 200
