Person,Steps
Person 1,3245
Person 2,5678
Person 3,8392
Person 4,11234
Person 5,9483
Person 6,7492
Person 7,5047
Person 8,6861
Person 9,7023
Person 10,11542
Person 11,9437
Person 12,8327
Person 13,4879
Person 14,2975
Person 15,10489
Person 16,7550
Person 17,5719
Person 18,6400
Person 19,10395
Person 20,9203
Person 21,11458
Person 22,3698
Person 23,10589
Person 24,7357
Person 25,8604
Person 26,5496
Person 27,4617
Person 28,7584
Person 29,8732
Person 30,3107
Person 31,9056
Person 32,5839
Person 33,11475
Person 34,9603
Person 35,8462
Person 36,4310
Person 37,8049
Person 38,6839
Person 39,5850
Person 40,4096
Person 41,7025
Person 42,9853
Person 43,12379
Person 44,5648
Person 45,7910
Person 46,4783
Person 47,7496
Person 48,5190
Person 49,11057
Person 50,6674
