Day,Steps
Monday,3450
Tuesday,7100
Wednesday,6800
Thursday,3700
Friday,4030
Saturday,7960
Sunday,10200
Monday,3210
Tuesday,6890
Wednesday,6580
Thursday,3500
Friday,3880
Saturday,8100
Sunday,9700
Monday,3050
Tuesday,6670
Wednesday,6390
Thursday,3300
Friday,3760
Saturday,8330
Sunday,10500
Monday,2930
Tuesday,6450
Wednesday,6100
Thursday,3170
Friday,3590
Saturday,8540
Sunday,11000
Monday,2800
Tuesday,6230
Wednesday,5920
Thursday,3020
Friday,3450
Saturday,8790
Sunday,8000
Monday,2680
Tuesday,6000
Wednesday,5710
Thursday,2900
Friday,3300
Saturday,9000
Sunday,8500
Monday,2560
Tuesday,5780
Wednesday,5530
Thursday,2750
Friday,3180
Saturday,9200
Sunday,8700
Monday,2440
Tuesday,5560
Wednesday,5300
Thursday,2600
Friday,3050
Saturday,9400
Sunday,8900
