Month,Books Loaned
January, 650
February, 570
March, 720
April, 560
May, 630
June, 590
July, 680
August, 500
September, 710
October, 660
November, 740
December, 750
January, 590
February, 600
March, 640
April, 590
May, 620
June, 610
July, 660
August, 700
September, 558
October, 780
November, 300
December, 450
January, 400
February, 500
March, 470
April, 680
May, 510
June, 590
July, 630
August, 560
September, 610
October, 590
November, 620
December, 650
January, 710
February, 550
March, 745
April, 670
May, 690
June, 700
July, 685
August, 720
September, 600
October, 750
November, 580
December, 695
January, 530
February, 625
