""
State, Population_Density, Median_Income
California, 251.42, 71228
Texas, 108.50, 59570
Florida, 378.16, 53267
New York, 420.08, 64894
Pennsylvania, 286.54, 59195
Illinois, 231.16, 63575
Ohio, 282.90, 55638
Georgia, 186.10, 56183
North Carolina, 211.36, 52752
Michigan, 175.40, 54938
New Jersey, 1210.10, 79363
Virginia, 214.30, 71535
Washington, 114.62, 70116
Arizona, 64.95, 56581
Massachusetts, 892.00, 77385
Tennessee, 165.50, 52392
Indiana, 186.84, 54933
Missouri, 89.91, 53578
Maryland, 626.70, 80776
Wisconsin, 106.13, 59305
Colorado, 55.05, 68774
Minnesota, 71.59, 70317
South Carolina, 164.05, 52041
Alabama, 97.11, 48486
Louisiana, 107.59, 46897
Kentucky, 113.95, 48390
Oregon, 44.09, 60125
Oklahoma, 57.65, 50051
Connecticut, 741.40, 76342
Iowa, 55.48, 58570
Mississippi, 63.50, 43529
Arkansas, 57.88, 45726
Kansas, 35.90, 56951
Utah, 38.63, 65358
Nevada, 26.80, 58038
New Mexico, 17.20, 46748
West Virginia, 75.13, 43469
Nebraska, 24.90, 59670
Idaho, 20.70, 52225
Hawaii, 219.94, 77765
Maine, 43.10, 55602
New Hampshire, 149.80, 74057
Rhode Island, 1020.50, 63232
Montana, 7.10, 52559
Delaware, 493.50, 64805
South Dakota, 11.40, 56894
North Dakota, 10.90, 61843
Alaska, 1.30, 73181
Vermont, 67.90, 57513
Wyoming, 6.00, 61584
""
