markdown
Date,AverageCalories,NumberOfSteps
2024-01-01,2000,5000
2024-01-02,2100,5400
2024-01-03,1900,4800
2024-01-04,2200,6000
2024-01-05,2050,5500
2024-01-06,2300,6300
2024-01-07,2250,6200
2024-01-08,1950,5000
2024-01-09,2150,5700
2024-01-10,2200,5900
2024-01-11,2350,6500
2024-01-12,2000,5200
2024-01-13,2400,6700
2024-01-14,1850,4700
2024-01-15,2000,5100
2024-01-16,2500,6800
2024-01-17,2100,5400
2024-01-18,1950,5000
2024-01-19,2250,6100
2024-01-20,2050,5600
2024-01-21,2200,5900
2024-01-22,2300,6400
2024-01-23,2000,5200
2024-01-24,2400,6600
2024-01-25,1900,4900
2024-01-26,2100,5500
2024-01-27,2500,7000
2024-01-28,1800,4600
2024-01-29,2150,5800
2024-01-30,2250,6200
2024-01-31,2000,5000
""
