""
Sport,Average_Training_Hours,Average_Performance_Score
Soccer,18,88
Basketball,20,85
Tennis,15,87
Swimming,22,90
Athletics,17,86
Cycling,19,89
Gymnastics,24,92
Rowing,21,91
Boxing,23,93
Weightlifting,16,84
Wrestling,18,88
Skiing,14,82
Snowboarding,15,83
Hockey,20,87
Rugby,21,86
Martial_Arts,22,90
Fencing,13,80
Golf,12,78
Cricket,16,85
Baseball,19,88
Volleyball,18,86
Badminton,14,81
Table_Tennis,13,79
Surfing,20,84
Skateboarding,15,83
Rock_Climbing,16,85
Horse_Riding,18,87
Sailing,19,86
Archery,12,77
Diving,21,89
""
