""
Age,Average_Income,Social_Media_Usage,Hours_Spent
15,2000,30,2
15,2200,35,2.5
15,2100,40,3
15,2300,38,3.5
18,2500,45,4
18,2700,50,4.5
18,2600,48,5
18,2800,52,5.5
21,3000,55,6
21,3200,60,6.5
21,3100,58,7
21,3300,62,7.5
24,3500,65,8
24,3700,70,8.5
24,3600,68,9
24,3800,72,9.5
27,4000,75,10
27,4200,80,10.5
27,4100,78,11
27,4300,82,11.5
30,4500,85,12
30,4700,90,12.5
30,4600,88,13
30,4800,92,13.5
33,5000,95,14
33,5200,100,14.5
33,5100,98,15
33,5300,102,15.5
36,5500,105,16
36,5700,110,16.5
36,5600,108,17
36,5800,112,17.5
39,6000,115,18
39,6200,120,18.5
39,6100,118,19
39,6300,122,19.5
""
