""
Year,Flights,Hotels,Tours,Transport,Food
2000,250,400,300,200,100
2001,265,420,315,215,110
2002,280,440,330,230,120
2003,295,460,345,245,130
2004,310,480,360,260,140
2005,325,500,375,275,150
2006,340,520,390,290,160
2007,355,540,405,305,170
2008,370,560,420,320,180
2009,385,580,435,335,190
2010,400,600,450,350,200
2011,415,620,465,365,210
2012,430,640,480,380,220
2013,445,660,495,395,230
2014,460,680,510,410,240
2015,475,700,525,425,250
2016,490,720,540,440,260
2017,505,740,555,455,270
2018,520,760,570,470,280
2019,535,780,585,485,290
2020,550,800,600,500,300
""
