""
Year,Cardio,Yoga,Strength,HIIT,Cycling
2000,3100,1600,2100,600,330
2001,3150,1610,2125,610,333
2002,3200,1620,2150,620,336
2003,3250,1630,2175,630,339
2004,3300,1640,2200,640,342
2005,3350,1650,2225,650,345
2006,3400,1660,2250,660,348
2007,3450,1670,2275,670,351
2008,3500,1680,2300,680,354
2009,3550,1690,2325,690,357
2010,3600,1700,2350,700,360
2011,3650,1710,2375,710,363
2012,3700,1720,2400,720,366
2013,3750,1730,2425,730,369
2014,3800,1740,2450,740,372
2015,3850,1750,2475,750,375
2016,3900,1760,2500,760,378
2017,3950,1770,2525,770,381
2018,4000,1780,2550,780,384
2019,4050,1790,2575,790,387
2020,4100,1800,2600,800,390
""
