 
Month,Celestial Object,Values
January,Stars,50
January,Planets,60
January,Galaxies,40
February,Stars,55
February,Planets,65
February,Galaxies,45
March,Stars,60
March,Planets,70
March,Galaxies,50
April,Stars,65
April,Planets,75
April,Galaxies,55
May,Stars,70
May,Planets,80
May,Galaxies,60
June,Stars,75
June,Planets,85
June,Galaxies,65
July,Stars,80
July,Planets,90
July,Galaxies,70
August,Stars,85
August,Planets,95
August,Galaxies,75
September,Stars,90
September,Planets,100
September,Galaxies,80
October,Stars,95
October,Planets,105
October,Galaxies,85
November,Stars,100
November,Planets,110
November,Galaxies,90
December,Stars,105
December,Planets,115
December,Galaxies,95
""
