""
Year,Company,Revenue
2019,Apple,260.2
2019,Microsoft,125.8
2019,Amazon,280.5
2019,Google,161.9
2019,Facebook,70.7
2019,Netflix,20.2
2019,Tesla,24.6
2020,Apple,274.5
2020,Microsoft,143.0
2020,Amazon,386.1
2020,Google,182.5
2020,Facebook,85.9
2020,Netflix,25.0
2020,Tesla,31.5
2021,Apple,365.8
2021,Microsoft,168.1
2021,Amazon,469.8
2021,Google,257.6
2021,Facebook,117.9
2021,Netflix,29.7
2021,Tesla,53.8
2022,Apple,394.3
2022,Microsoft,198.3
2022,Amazon,514.0
2022,Google,280.8
2022,Facebook,128.3
2022,Netflix,31.6
2022,Tesla,81.5
""
