""
Continent,Country,GDP
Asia,China,14342903
Asia,India,2875142
Asia,Japan,5081770
Asia,South Korea,1655608
Asia,Indonesia,1053126
Europe,Germany,3845630
Europe,United Kingdom,2826441
Europe,France,2715518
Europe,Italy,2073860
Europe,Russia,1483494
Africa,Nigeria,448120
Africa,South Africa,368135
Africa,Egypt,302256
Africa,Algeria,169988
Africa,Morocco,119040
Americas,United States,21433226
Americas,Brazil,2055502
Americas,Canada,1736424
Americas,Mexico,1220357
Americas,Argentina,449663
Oceania,Australia,1392687
Oceania,New Zealand,204913
Oceania,Papua New Guinea,24975
Oceania,Fiji,5470
Oceania,Samoa,884
""
