""
topic,sub_topic,value
Sports & Fitness,Running,1500
Sports & Fitness,Gym Equipment,1200
Sports & Fitness,Swimming,900
Sports & Fitness,Cycling,1100
Sports & Fitness,Yoga,800
Sports & Fitness,Weightlifting,700
Sports & Fitness,Cardio Machines,600
Sports & Fitness,Pilates,500
Sports & Fitness,Boxing,400
Sports & Fitness,Martial Arts,300
Sports & Fitness,Rowing,200
Health & Psychology,Mental Health,1000
Health & Psychology,Nutrition,850
Health & Psychology,Physical Health,750
Health & Psychology,Wellness,650
Health & Psychology,Self-care,550
Health & Psychology,Fitness,450
Health & Psychology,Stress Management,350
Health & Psychology,Sleep Health,250
Health & Psychology,Work-life Balance,150
Health & Psychology,Addiction Recovery,100
""
