""
Category,Subcategory,Value
Food & Nutrition,Fruits,120000
Food & Nutrition,Vegetables,90000
Food & Nutrition,Meat & Poultry,150000
Food & Nutrition,Dairy Products,110000
Food & Nutrition,Grains & Cereals,80000
Environment & Climate Change,Renewable Energy,250000
Environment & Climate Change,Recycling,100000
Environment & Climate Change,Pollution Control,95000
Environment & Climate Change,Conservation,125000
Environment & Climate Change,Climate Research,175000
Health & Psychology,Mental Health Services,200000
Health & Psychology,Physical Therapy,85000
Health & Psychology,Healthcare Tech,180000
Health & Psychology,Wellness Programs,105000
Health & Psychology,Nutrition Counseling,95000
Culture & Society,Literature,140000
Culture & Society,Performing Arts,130000
Culture & Society,Visual Arts,120000
Culture & Society,Heritage Sites,90000
Culture & Society,Festivals & Events,150000
""
