""
Category,Value,Aspect
Innovation,95,Science & Nature
Investment,85,Business & Entrepreneurship
Painting,70,Art & Design
Traveling,65,Travel & Adventure
Yoga,80,Sports & Fitness
Concerts,50,Music & Performing Arts
Writing,75,Literature & Writing
Mental Health,90,Health & Psychology
Economics,55,Economics & Finance
Recycling,60,Environment & Climate Change
Fashion Trends,45,Fashion & Beauty
Historical Research,85,History & Archaeology
Government Policy,75,Politics & Governance
Space Missions,90,Astronomy & Space Exploration
E-Learning,80,Education & Learning
AI & Robotics,85,Future Technologies & Society
Ethical Debates,70,Philosophy & Ethics
Movie Nights,65,Entertainment & Leisure
Gourmet Cooking,75,Food & Nutrition
Cultural Festivals,60,Culture & Society
""
