""
Year,Company,Students
2019,Harvard,31.5
2019,MIT,22.3
2019,Stanford,18.7
2019,Oxford,23.1
2019,Cambridge,19.8
2019,Columbia,17.4
2019,Princeton,15.6
2020,Harvard,32.8
2020,MIT,24.1
2020,Stanford,19.9
2020,Oxford,25.0
2020,Cambridge,20.4
2020,Columbia,18.9
2020,Princeton,16.8
2021,Harvard,34.5
2021,MIT,25.7
2021,Stanford,21.3
2021,Oxford,26.5
2021,Cambridge,22.1
2021,Columbia,20.0
2021,Princeton,18.2
2022,Harvard,36.2
2022,MIT,27.4
2022,Stanford,22.8
2022,Oxford,28.1
2022,Cambridge,23.7
2022,Columbia,21.2
2022,Princeton,19.6
""
