""
Continent,Country,Literature Sales (Million USD)
Asia,China,5432
Asia,India,3210
Asia,Japan,4789
Asia,South Korea,1987
Asia,Indonesia,1102
Europe,Germany,2785
Europe,United Kingdom,2598
Europe,France,2310
Europe,Italy,1903
Europe,Russia,1289
Africa,Nigeria,678
Africa,South Africa,540
Africa,Egypt,490
Africa,Algeria,310
Africa,Morocco,250
Americas,United States,7890
Americas,Brazil,3010
Americas,Canada,2230
Americas,Mexico,1890
Americas,Argentina,765
Oceania,Australia,890
Oceania,New Zealand,710
Oceania,Papua New Guinea,45
Oceania,Fiji,23
Oceania,Samoa,12
""
