""
Category,Item,Value
Food & Nutrition,Apples,1500
Food & Nutrition,Bananas,2000
Food & Nutrition,Cherries,1200
Food & Nutrition,Grapes,2500
Food & Nutrition,Oranges,1800
Food & Nutrition,Strawberries,2200
Food & Nutrition,Blueberries,1400
Food & Nutrition,Peaches,1600
Food & Nutrition,Watermelons,3000
Food & Nutrition,Pineapples,1700
Food & Nutrition,Mangoes,2100
Food & Nutrition,Plums,1300
Food & Nutrition,Pears,1900
Food & Nutrition,Kiwi,1100
Food & Nutrition,Pomegranates,1000
Food & Nutrition,Blackberries,900
Food & Nutrition,Avocados,2600
Food & Nutrition,Coconuts,2400
""
