""
Category,Subcategory,Value
Sports & Fitness,Running,200000
Sports & Fitness,Cycling,180000
Sports & Fitness,Swimming,150000
Sports & Fitness,Gym & Fitness,220000
Sports & Fitness,Yoga & Pilates,170000
Sports & Fitness,Team Sports,140000
Sports & Fitness,Outdoor Activities,160000
Sports & Fitness,Martial Arts,130000
Sports & Fitness,Fitness Technology,210000
Sports & Fitness,Nutrition & Supplements,190000
Health & Wellness,Mental Health,120000
Health & Wellness,Physical Therapy,110000
Health & Wellness,Healthcare Technology,140000
Health & Wellness,Wellness Programs,135000
Health & Wellness,Nutrition Counseling,125000
Travel & Adventure,Adventure Tourism,200000
Travel & Adventure,Cultural Tourism,190000
Travel & Adventure,Ecotourism,180000
Travel & Adventure,Backpacking,170000
Travel & Adventure,Luxury Travel,160000
""
