""
category,sub_category,value
Sports & Fitness,Running,300
Sports & Fitness,Cycling,250
Sports & Fitness,Swimming,220
Sports & Fitness,Weightlifting,200
Sports & Fitness,Yoga,190
Sports & Fitness,Pilates,180
Sports & Fitness,Martial Arts,170
Sports & Fitness,Boxing,160
Sports & Fitness,Hiking,150
Sports & Fitness,Rock Climbing,140
Sports & Fitness,Skiing,130
Sports & Fitness,Snowboarding,120
Sports & Fitness,Gymnastics,110
Sports & Fitness,Dance,100
Sports & Fitness,Rowing,90
Sports & Fitness,Tennis,80
Sports & Fitness,Basketball,70
Sports & Fitness,Football,60
Sports & Fitness,Baseball,50
Sports & Fitness,Volleyball,40
""
