""
Category,Value,Aspect
Innovation,95,Artificial Intelligence
Investment,85,Blockchain
Electric Vehicles,78,Electric Vehicles
Virtual Reality,70,Virtual Reality
Space Missions,90,Space Exploration
Ethical Debates,65,Ethics in AI
Quantum Computing,85,Quantum Computing
Smart Cities,75,Smart Cities
Renewable Energy,80,Renewable Energy
Robotics,90,Advanced Robotics
3D Printing,60,3D Printing
Cybersecurity,85,Cybersecurity
Augmented Reality,70,Augmented Reality
Biotechnology,85,Biotechnology
Drones,60,Drones
Nanotechnology,75,Nanotechnology
Wearable Tech,65,Wearable Technology
Genomics,75,Genomics
Big Data,80,Big Data Analytics
Internet of Things,70,Internet of Things
""
