""
Year,Category,Investment
2019,Fitness Apps,200.5
2019,Sports Equipment,180.3
2019,Online Training Programs,130.2
2019,Nutrition Supplements,110.7
2019,Outdoor Gear,90.8
2020,Fitness Apps,230.4
2020,Sports Equipment,200.9
2020,Online Training Programs,140.7
2020,Nutrition Supplements,120.1
2020,Outdoor Gear,100.4
2021,Fitness Apps,260.5
2021,Sports Equipment,220.6
2021,Online Training Programs,150.2
2021,Nutrition Supplements,130.3
2021,Outdoor Gear,110.9
2022,Fitness Apps,290.7
2022,Sports Equipment,240.8
2022,Online Training Programs,160.3
2022,Nutrition Supplements,140.2
2022,Outdoor Gear,120.5
""
