Date,Liters
2023-03-01,2.5
2023-03-02,2.7
2023-03-03,2.4
2023-03-04,2.8
2023-03-05,3.0
2023-03-06,2.6
2023-03-07,2.1
2023-03-08,2.5
2023-03-09,2.9
2023-03-10,3.2
2023-03-11,2.7
2023-03-12,2.3
2023-03-13,2.4
2023-03-14,2.6
2023-03-15,3.1
2023-03-16,2.9
2023-03-17,2.2
2023-03-18,2.8
2023-03-19,3.0
2023-03-20,2.4
2023-03-21,2.6
2023-03-22,2.9
2023-03-23,3.1
2023-03-24,2.7
2023-03-25,2.3
2023-03-26,2.5
2023-03-27,2.9
2023-03-28,2.6
2023-03-29,3.2
2023-03-30,2.8
2023-03-31,2.5
2023-04-01,2.9
2023-04-02,2.6
2023-04-03,2.7
2023-04-04,3.1
2023-04-05,2.8
2023-04-06,2.5
2023-04-07,2.9
2023-04-08,3.0
2023-04-09,2.7
2023-04-10,2.4
2023-04-11,2.6
2023-04-12,3.2
2023-04-13,2.8
2023-04-14,2.9
2023-04-15,3.1
2023-04-16,2.6
2023-04-17,2.4
2023-04-18,2.7
2023-04-19,3.0
2023-04-20,2.5
2023-04-21,2.8
2023-04-22,3.1
2023-04-23,2.6
2023-04-24,2.3
2023-04-25,2.9
