Date,Revenue
2023-01-01,5000
2023-01-02,5200
2023-01-03,5100
2023-01-04,5300
2023-01-05,5500
2023-01-06,5400
2023-01-07,5600
2023-01-08,5700
2023-01-09,5800
2023-01-10,5900
2023-01-11,6000
2023-01-12,6100
2023-01-13,6200
2023-01-14,6300
2023-01-15,6400
2023-01-16,6500
2023-01-17,6600
2023-01-18,6700
2023-01-19,6800
2023-01-20,6900
2023-01-21,7000
2023-01-22,7100
2023-01-23,7200
2023-01-24,7300
2023-01-25,7400
2023-01-26,7500
2023-01-27,7600
2023-01-28,7700
2023-01-29,7800
2023-01-30,7900
2023-01-31,8000
