Date,Calories
2023-01-01,2200
2023-01-02,2100
2023-01-03,2300
2023-01-04,2400
2023-01-05,2000
2023-01-06,2500
2023-01-07,2600
2023-01-08,2700
2023-01-09,2200
2023-01-10,2400
2023-01-11,2300
2023-01-12,2500
2023-01-13,2600
2023-01-14,2700
2023-01-15,2100
2023-01-16,2500
2023-01-17,2800
2023-01-18,2600
2023-01-19,2700
2023-01-20,2200
2023-01-21,2800
2023-01-22,2900
2023-01-23,2400
2023-01-24,2600
2023-01-25,2700
2023-01-26,2500
2023-01-27,2300
2023-01-28,2700
2023-01-29,2200
2023-01-30,2800
2023-01-31,2600
2023-02-01,2400
2023-02-02,2500
2023-02-03,2600
2023-02-04,2700
2023-02-05,2300
2023-02-06,2500
2023-02-07,2600
2023-02-08,2800
2023-02-09,2700
2023-02-10,2900
