Date,Steps
2023-03-01,8000
2023-03-02,7500
2023-03-03,8200
2023-03-04,9000
2023-03-05,8700
2023-03-06,9100
2023-03-07,7800
2023-03-08,8600
2023-03-09,9200
2023-03-10,8900
2023-03-11,9500
2023-03-12,7300
2023-03-13,8700
2023-03-14,8100
2023-03-15,8800
2023-03-16,9200
2023-03-17,7600
2023-03-18,9400
2023-03-19,8700
2023-03-20,8000
2023-03-21,8900
2023-03-22,9200
2023-03-23,8600
2023-03-24,9100
2023-03-25,7500
2023-03-26,8700
2023-03-27,9000
2023-03-28,8900
2023-03-29,9300
2023-03-30,8500
2023-03-31,8900
2023-04-01,9200
2023-04-02,8100
2023-04-03,8700
2023-04-04,9100
2023-04-05,8000
2023-04-06,8700
2023-04-07,9200
2023-04-08,8900
2023-04-09,8700
2023-04-10,9000
2023-04-11,9100
2023-04-12,9300
2023-04-13,8700
2023-04-14,9200
2023-04-15,9000
2023-04-16,8700
2023-04-17,8100
2023-04-18,8900
2023-04-19,9300
2023-04-20,8500
2023-04-21,8800
2023-04-22,9000
2023-04-23,9200
2023-04-24,8500
2023-04-25,8900
2023-04-26,9000
2023-04-27,9300
2023-04-28,8500
2023-04-29,9100
2023-04-30,8900
