Year,Discoveries
1960,5
1961,8
1962,12
1963,20
1964,25
1965,30
1966,35
1967,40
1968,50
1969,55
1970,60
1971,65
1972,70
1973,80
1974,85
1975,90
1976,95
1977,100
1978,110
1979,115
1980,120
1981,130
1982,135
1983,140
1984,150
1985,160
1986,170
1987,175
1988,180
1989,190
1990,200
1991,210
1992,220
1993,230
1994,240
1995,250
1996,260
1997,270
1998,280
1999,290
2000,300
2001,310
2002,320
2003,330
2004,340
2005,350
2006,360
2007,370
2008,380
2009,390
2010,400
2011,410
2012,420
2013,430
2014,440
2015,450
2016,460
2017,470
2018,480
2019,490
2020,500
