Date,Exercise,SleepQuality
2023-04-01,30,7.5
2023-04-02,35,7.2
2023-04-03,40,8.0
2023-04-04,45,7.8
2023-04-05,50,8.5
2023-04-06,55,8.3
2023-04-07,60,7.9
2023-04-08,65,8.1
2023-04-09,70,7.4
2023-04-10,75,7.7
2023-04-11,80,8.2
2023-04-12,85,7.6
2023-04-13,90,8.0
2023-04-14,95,8.4
2023-04-15,100,7.5
2023-04-16,105,7.8
2023-04-17,110,8.1
2023-04-18,115,7.9
2023-04-19,120,8.3
2023-04-20,125,7.7
2023-04-21,130,7.6
2023-04-22,135,8.2
2023-04-23,140,8.0
2023-04-24,145,7.5
2023-04-25,150,8.1
2023-04-26,155,7.4
2023-04-27,160,7.9
2023-04-28,165,8.3
2023-04-29,170,7.6
2023-04-30,175,8.0
