Date,Distance
2022-01-01,5
2022-01-02,6
2022-01-03,7
2022-01-04,8
2022-01-05,6
2022-01-06,5
2022-01-07,7
2022-01-08,8
2022-01-09,9
2022-01-10,10
2022-01-11,11
2022-01-12,12
2022-01-13,11
2022-01-14,10
2022-01-15,9
2022-01-16,8
2022-01-17,7
2022-01-18,6
2022-01-19,5
2022-01-20,4
2022-01-21,3
2022-01-22,4
2022-01-23,5
2022-01-24,6
2022-01-25,7
2022-01-26,8
2022-01-27,9
2022-01-28,10
2022-01-29,11
2022-01-30,12
2022-01-31,13
2022-02-01,14
2022-02-02,15
2022-02-03,16
2022-02-04,17
2022-02-05,18
2022-02-06,19
2022-02-07,20
2022-02-08,21
2022-02-09,22
2022-02-10,23
