Date,Meditation,Stress Level
2023-04-01,10,70
2023-04-02,12,68
2023-04-03,14,66
2023-04-04,16,64
2023-04-05,18,62
2023-04-06,20,60
2023-04-07,22,58
2023-04-08,25,56
2023-04-09,28,54
2023-04-10,30,52
2023-04-11,32,50
2023-04-12,34,48
2023-04-13,36,46
2023-04-14,38,44
2023-04-15,40,42
2023-04-16,42,40
2023-04-17,44,38
2023-04-18,46,36
2023-04-19,48,34
2023-04-20,50,32
2023-04-21,52,30
2023-04-22,54,28
2023-04-23,56,26
2023-04-24,58,24
2023-04-25,60,22
2023-04-26,62,20
2023-04-27,64,18
2023-04-28,66,16
2023-04-29,68,14
2023-04-30,70,12
2023-05-01,72,10
2023-05-02,74,8
2023-05-03,76,6
2023-05-04,78,4
2023-05-05,80,2
2023-05-06,82,1
2023-05-07,84,0
2023-05-08,86,0
2023-05-09,88,0
2023-05-10,90,0
