Day,Time,Calories
Monday,Breakfast,400
Monday,Lunch,600
Monday,Dinner,700
Monday,Snacks,300
Tuesday,Breakfast,450
Tuesday,Lunch,620
Tuesday,Dinner,680
Tuesday,Snacks,290
Wednesday,Breakfast,410
Wednesday,Lunch,610
Wednesday,Dinner,690
Wednesday,Snacks,310
Thursday,Breakfast,430
Thursday,Lunch,625
Thursday,Dinner,675
Thursday,Snacks,320
Friday,Breakfast,420
Friday,Lunch,605
Friday,Dinner,700
Friday,Snacks,330
Saturday,Breakfast,460
Saturday,Lunch,630
Saturday,Dinner,710
Saturday,Snacks,340
Sunday,Breakfast,430
Sunday,Lunch,620
Sunday,Dinner,680
Sunday,Snacks,350
