Date,Steps
2022-01-01,5000
2022-01-02,5200
2022-01-03,4800
2022-01-04,5300
2022-01-05,5500
2022-01-06,5700
2022-01-07,5900
2022-01-08,6100
2022-01-09,6200
2022-01-10,6000
2022-01-11,6400
2022-01-12,6600
2022-01-13,6800
2022-01-14,7000
2022-01-15,7200
2022-01-16,7400
2022-01-17,7600
2022-01-18,7800
2022-01-19,8000
2022-01-20,8200
2022-01-21,8400
2022-01-22,8600
2022-01-23,8800
2022-01-24,9000
2022-01-25,9200
2022-01-26,9400
2022-01-27,9600
2022-01-28,9800
2022-01-29,10000
2022-01-30,10200
2022-01-31,10400
2022-02-01,10600
2022-02-02,10800
2022-02-03,11000
2022-02-04,11200
2022-02-05,11400
2022-02-06,11600
2022-02-07,11800
2022-02-08,12000
2022-02-09,12200
2022-02-10,12400
