Date,ActiveUsers
2024-01-01,5000
2024-01-02,5200
2024-01-03,5300
2024-01-04,5500
2024-01-05,5700
2024-01-06,6000
2024-01-07,6200
2024-01-08,6400
2024-01-09,6600
2024-01-10,6800
2024-01-11,7000
2024-01-12,7200
2024-01-13,7400
2024-01-14,7600
2024-01-15,7800
2024-01-16,8000
2024-01-17,8200
2024-01-18,8400
2024-01-19,8600
2024-01-20,8800
2024-01-21,9000
2024-01-22,9200
2024-01-23,9400
2024-01-24,9600
2024-01-25,9800
2024-01-26,10000
2024-01-27,10200
2024-01-28,10400
2024-01-29,10600
2024-01-30,10800
2024-01-31,11000
