accepted_date,accumulated_amount
1900-01-01,4
2020-01-13,5
2020-01-19,6
2020-03-19,7
2020-04-02,8
2020-04-14,9
2020-04-20,10
2020-04-24,11
2020-05-07,12
2020-05-14,16
2020-06-18,17
2020-06-22,18
2020-06-26,19
2020-07-15,20
2020-07-22,21
2020-07-26,22
2020-07-27,23
2020-08-11,24
2020-08-14,25
2020-08-24,26
2020-09-03,27
2020-09-07,28
2020-09-10,30
2020-09-15,31
2020-09-23,32
2020-11-12,33
2020-11-13,34
2020-12-01,35
2020-12-07,36
2020-12-08,37
2021-02-01,38
2021-03-26,39
2021-03-29,40
2021-03-30,41
2021-04-27,42
2021-05-25,43
2021-06-11,44
2021-06-15,45
2021-06-21,46
2021-06-22,47
2021-06-23,48
2021-07-06,49
2021-07-12,50
2021-09-01,51
2021-10-13,52
2021-11-15,53
2022-01-28,54
2022-03-08,55
2022-03-11,56
2022-03-15,57
2022-04-01,58
2022-04-05,60
2022-04-25,61
2022-05-31,62
2022-08-16,63
2022-09-12,64
2022-10-28,65
2022-11-10,67
2022-11-14,68
2022-11-16,70
2022-11-27,71
2022-12-15,72
2023-03-18,73
2023-06-12,74
2023-11-17,75
2024-04-12,76
,77
