University,Publications,University of London
Harvard University,10800,
Stanford University,9800,
MIT,8700,
"University of California, Berkeley",8600,
University of Oxford,8400,
University of Cambridge,8200,
Columbia University,7900,
University of Chicago,7800,
Yale University,7700,
Princeton University,7500,
"University of California, Los Angeles",7400,
University of Tokyo,7300,
University of Michigan,7200,
University of Pennsylvania,7100,
California Institute of Technology,7000,
University of Toronto,6900,
ETH Zurich,6800,
,6700,Imperial College London
University of Edinburgh,6600,
Peking University,6500,
