Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date,daily_Confirmed
China,CN,Hubei,,,30.98,112.27,444,17,28,399,2020-01-22T00:00:00,0
China,CN,Hubei,,,30.98,112.27,444,17,28,399,2020-01-23T00:00:00,0
China,CN,Hubei,,,30.98,112.27,549,24,31,494,2020-01-24T00:00:00,105
China,CN,Hubei,,,30.98,112.27,761,40,32,689,2020-01-25T00:00:00,212
China,CN,Hubei,,,30.98,112.27,1058,52,42,964,2020-01-26T00:00:00,297
China,CN,Hubei,,,30.98,112.27,1423,76,45,1302,2020-01-27T00:00:00,365
China,CN,Hubei,,,30.98,112.27,3554,125,80,3349,2020-01-28T00:00:00,2131
China,CN,Hubei,,,30.98,112.27,3554,125,88,3341,2020-01-29T00:00:00,0
China,CN,Hubei,,,30.98,112.27,4903,162,90,4651,2020-01-30T00:00:00,1349
China,CN,Hubei,,,30.98,112.27,5806,204,141,5461,2020-01-31T00:00:00,903
China,CN,Hubei,,,30.98,112.27,7153,249,168,6736,2020-02-01T00:00:00,1347
China,CN,Hubei,,,30.98,112.27,11177,350,295,10532,2020-02-02T00:00:00,4024
China,CN,Hubei,,,30.98,112.27,13522,414,386,12722,2020-02-03T00:00:00,2345
China,CN,Hubei,,,30.98,112.27,16678,479,522,15677,2020-02-04T00:00:00,3156
China,CN,Hubei,,,30.98,112.27,19665,549,633,18483,2020-02-05T00:00:00,2987
China,CN,Hubei,,,30.98,112.27,22112,618,817,20677,2020-02-06T00:00:00,2447
China,CN,Hubei,,,30.98,112.27,24953,699,1115,23139,2020-02-07T00:00:00,2841
China,CN,Hubei,,,30.98,112.27,27100,780,1439,24881,2020-02-08T00:00:00,2147
China,CN,Hubei,,,30.98,112.27,29631,871,1795,26965,2020-02-09T00:00:00,2531
China,CN,Hubei,,,30.98,112.27,31728,974,2222,28532,2020-02-10T00:00:00,2097
China,CN,Hubei,,,30.98,112.27,33366,1068,2639,29659,2020-02-11T00:00:00,1638
China,CN,Hubei,,,30.98,112.27,33366,1068,2686,29612,2020-02-12T00:00:00,0
China,CN,Hubei,,,30.98,112.27,48206,1310,3459,43437,2020-02-13T00:00:00,14840
China,CN,Hubei,,,30.98,112.27,54406,1457,4774,48175,2020-02-14T00:00:00,6200
China,CN,Hubei,,,30.98,112.27,56249,1596,5623,49030,2020-02-15T00:00:00,1843
China,CN,Hubei,,,30.98,112.27,58182,1696,6639,49847,2020-02-16T00:00:00,1933
China,CN,Hubei,,,30.98,112.27,59989,1789,7862,50338,2020-02-17T00:00:00,1807
China,CN,Hubei,,,30.98,112.27,61682,1921,9128,50633,2020-02-18T00:00:00,1693
China,CN,Hubei,,,30.98,112.27,62031,2029,10337,49665,2020-02-19T00:00:00,349
China,CN,Hubei,,,30.98,112.27,62442,2144,11788,48510,2020-02-20T00:00:00,411
China,CN,Hubei,,,30.98,112.27,62662,2144,11881,48637,2020-02-21T00:00:00,220
China,CN,Hubei,,,30.98,112.27,64084,2346,15299,46439,2020-02-22T00:00:00,1422
China,CN,Hubei,,,30.98,112.27,64084,2346,15343,46395,2020-02-23T00:00:00,0
China,CN,Hubei,,,30.98,112.27,64287,2495,16748,45044,2020-02-24T00:00:00,203
China,CN,Hubei,,,30.98,112.27,64786,2563,18971,43252,2020-02-25T00:00:00,499
China,CN,Hubei,,,30.98,112.27,65187,2615,20969,41603,2020-02-26T00:00:00,401
China,CN,Hubei,,,30.98,112.27,65596,2641,23383,39572,2020-02-27T00:00:00,409
China,CN,Hubei,,,30.98,112.27,65914,2682,26403,36829,2020-02-28T00:00:00,318
China,CN,Hubei,,,30.98,112.27,66337,2727,28993,34617,2020-02-29T00:00:00,423
China,CN,Hubei,,,30.98,112.27,66907,2761,31536,32610,2020-03-01T00:00:00,570
China,CN,Hubei,,,30.98,112.27,67103,2803,33934,30366,2020-03-02T00:00:00,196
China,CN,Hubei,,,30.98,112.27,67217,2835,36208,28174,2020-03-03T00:00:00,114
China,CN,Hubei,,,30.98,112.27,67332,2871,38557,25904,2020-03-04T00:00:00,115
China,CN,Hubei,,,30.98,112.27,67466,2902,40592,23972,2020-03-05T00:00:00,134
China,CN,Hubei,,,30.98,112.27,67592,2931,42033,22628,2020-03-06T00:00:00,126
China,CN,Hubei,,,30.98,112.27,67666,2959,43500,21207,2020-03-07T00:00:00,74
China,CN,Hubei,,,30.98,112.27,67707,2986,45235,19486,2020-03-08T00:00:00,41
China,CN,Hubei,,,30.98,112.27,67743,3008,46488,18247,2020-03-09T00:00:00,36
China,CN,Hubei,,,30.98,112.27,67760,3024,47743,16993,2020-03-10T00:00:00,17
China,CN,Hubei,,,30.98,112.27,67773,3046,49134,15593,2020-03-11T00:00:00,13
China,CN,Hubei,,,30.98,112.27,67781,3056,50318,14407,2020-03-12T00:00:00,8
China,CN,Hubei,,,30.98,112.27,67786,3062,51553,13171,2020-03-13T00:00:00,5
China,CN,Hubei,,,30.98,112.27,67790,3075,52960,11755,2020-03-14T00:00:00,4
China,CN,Hubei,,,30.98,112.27,67794,3085,54288,10421,2020-03-15T00:00:00,4
China,CN,Hubei,,,30.98,112.27,67798,3099,55142,9557,2020-03-16T00:00:00,4
China,CN,Hubei,,,30.98,112.27,67799,3111,56003,8685,2020-03-17T00:00:00,1
China,CN,Hubei,,,30.98,112.27,67800,3122,56927,7751,2020-03-18T00:00:00,1
China,CN,Hubei,,,30.98,112.27,67800,3130,57682,6988,2020-03-19T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67800,3133,58382,6285,2020-03-20T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67800,3139,58946,5715,2020-03-21T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67800,3153,59433,5214,2020-03-22T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67800,3153,59879,4768,2020-03-23T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67801,3160,60324,4317,2020-03-24T00:00:00,1
China,CN,Hubei,,,30.98,112.27,67801,3163,60811,3827,2020-03-25T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67801,3169,61201,3431,2020-03-26T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67801,3174,61732,2895,2020-03-27T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67801,3177,62098,2526,2020-03-28T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67801,3182,62570,2049,2020-03-29T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67801,3186,62889,1726,2020-03-30T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67801,3187,63153,1461,2020-03-31T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67802,3193,63326,1283,2020-04-01T00:00:00,1
China,CN,Hubei,,,30.98,112.27,67802,3199,63471,1132,2020-04-02T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67802,3203,63612,987,2020-04-03T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3207,63762,834,2020-04-04T00:00:00,1
China,CN,Hubei,,,30.98,112.27,67803,3210,63945,648,2020-04-05T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3212,64014,577,2020-04-06T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3212,64073,518,2020-04-07T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3213,64142,448,2020-04-08T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3215,64187,401,2020-04-09T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3216,64236,351,2020-04-10T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3219,64264,320,2020-04-11T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3219,64281,303,2020-04-12T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3221,64338,244,2020-04-13T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3221,64363,219,2020-04-14T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3222,64402,179,2020-04-15T00:00:00,0
China,CN,Hubei,,,30.98,112.27,67803,3222,64435,146,2020-04-16T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63487,129,2020-04-17T00:00:00,325
China,CN,Hubei,,,30.98,112.27,68128,4512,63494,122,2020-04-18T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63507,109,2020-04-19T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63511,105,2020-04-20T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63514,102,2020-04-21T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63519,97,2020-04-22T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63569,47,2020-04-23T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63593,23,2020-04-24T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63604,12,2020-04-25T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-04-26T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-04-27T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-04-28T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-04-29T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-04-30T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-05-01T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-05-02T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-05-03T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-05-04T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-05-05T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-05-06T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-05-07T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68128,4512,63616,0,2020-05-08T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68129,4512,63616,1,2020-05-09T00:00:00,1
China,CN,Hubei,,,30.98,112.27,68134,4512,63616,6,2020-05-10T00:00:00,5
China,CN,Hubei,,,30.98,112.27,68134,4512,63616,6,2020-05-11T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68134,4512,63616,6,2020-05-12T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68134,4512,63616,6,2020-05-13T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68134,4512,63616,6,2020-05-14T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68134,4512,63616,6,2020-05-15T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68134,4512,63616,6,2020-05-16T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68134,4512,63616,6,2020-05-17T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63616,7,2020-05-18T00:00:00,1
China,CN,Hubei,,,30.98,112.27,68135,4512,63616,7,2020-05-19T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63616,7,2020-05-20T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63616,7,2020-05-21T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63616,7,2020-05-22T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63616,7,2020-05-23T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63617,6,2020-05-24T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63617,6,2020-05-25T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63618,5,2020-05-26T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63618,5,2020-05-27T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63618,5,2020-05-28T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63619,4,2020-05-29T00:00:00,0
China,CN,Hubei,,,30.98,112.27,68135,4512,63619,4,2020-05-30T00:00:00,0
