Name,Date,Size,Deaths,Detail
August Complex,Aug-20,1032648,1,Top 20 wildfires in CA
Dixie,Jul-21,487764,0,Source: Cal Fire
Mendocino Complex,Jul-18,459123,1,
SCU Lightning Complex,Aug-20,279895,0,
Creek Fire,Sep-20,379895,0,
LNU Lightning Complex,Aug-20,363895,6,
North Complex,Aug-20,318935,15,
Thomas,Dec-17,281893,2,
Cedar,Oct-03,273246,15,
Rush,Aug-21,271911,0,
Rim,Aug-13,257314,0,
Zaca,Jul-07,240207,0,
Carr,Jul-18,229651,8,
Matilija,Sep-32,220000,0,
Witch,Oct-07,197990,2,
Klamath Theater Complex,Jul-77,192038,2,
Marble Cone,Jun-08,177866,0,
Laguna,Sep-70,175425,5,
SGF Complex,Aug-20,170384,0,
Basin Complex,Jun-08,162818,0,
