Unnamed: 0,Country,Year,GDP,rank,rank2
0,Bangladesh,1970,0.2082059695383669,5.0,5.0
1,Bangladesh,1971,0.170190718372794,5.0,5.0
2,Bangladesh,1972,0.194072895559385,5.0,5.0
3,Bangladesh,1973,0.1839465651097739,5.0,5.0
4,Bangladesh,1974,0.140496210654104,5.0,5.0
5,Bangladesh,1975,0.1099562613238649,5.0,5.0
6,Bangladesh,1976,0.223822749296616,5.0,5.0
7,Bangladesh,1977,0.194221981983695,5.0,5.0
8,Bangladesh,1978,0.210385149611892,5.0,5.0
9,Bangladesh,1979,0.219070635430834,5.0,5.0
10,Bangladesh,1980,0.2337723111223499,5.0,5.0
11,Bangladesh,1981,0.192471590909091,5.0,5.0
12,Bangladesh,1982,0.206069241937352,5.0,5.0
13,Bangladesh,1983,0.203168806212371,5.0,5.0
14,Bangladesh,1984,0.168117271749034,5.0,5.0
15,Bangladesh,1985,0.182221846249994,5.0,5.0
16,Bangladesh,1986,0.170187425082782,5.0,5.0
17,Bangladesh,1987,0.1668779763129629,5.0,5.0
18,Bangladesh,1988,0.176780643099612,5.0,5.0
19,Bangladesh,1989,0.183251740190693,5.0,5.0
20,Bangladesh,1990,0.189665020125385,5.0,5.0
21,Bangladesh,1991,0.188898268850747,5.0,5.0
22,Bangladesh,1992,0.199340055024511,5.0,5.0
23,Bangladesh,1993,0.231215830698982,5.0,5.0
24,Bangladesh,1994,0.228658645545703,5.0,5.0
25,Bangladesh,1995,0.282094960764218,5.0,5.0
26,Bangladesh,1996,0.260760877233809,5.0,5.0
27,Bangladesh,1997,0.263255133900833,5.0,5.0
28,Bangladesh,1998,0.278800634028394,5.0,5.0
29,Bangladesh,1999,0.283879405571158,5.0,5.0
30,Bangladesh,2000,0.293217143619038,5.0,5.0
31,Bangladesh,2001,0.320980170730117,5.0,5.0
32,Bangladesh,2002,0.289673807211649,5.0,5.0
33,Bangladesh,2003,0.27657884900158,5.0,5.0
34,Bangladesh,2004,0.268582341492431,5.0,5.0
35,Bangladesh,2005,0.34396934864465,5.0,5.0
36,Bangladesh,2006,0.381119244325921,5.0,5.0
37,Bangladesh,2007,0.399423826531735,5.0,5.0
38,Bangladesh,2008,0.426209140325589,5.0,5.0
39,Bangladesh,2009,0.40092796223023,5.0,5.0
40,Bangladesh,2010,0.378028426708321,5.0,5.0
41,Bangladesh,2011,0.474208498356898,5.0,5.0
42,Bangladesh,2012,0.4811092274767889,5.0,5.0
43,Bangladesh,2013,0.462964027239758,5.0,5.0
44,Bangladesh,2014,0.445140801968096,5.0,5.0
45,Bangladesh,2015,0.420859963070382,5.0,5.0
46,Bangladesh,2016,0.313341501346142,5.0,5.0
47,Bangladesh,2017,0.299997306724343,5.0,5.0
48,Bangladesh,2018,0.325146317240884,5.0,5.0
