team,team_tournament,tournament,tupg
Virginia A,2014 Virginia A,ACF Nationals 2014,15.64
Chicago A,2016 Chicago A,ACF Nationals 2016,15.1
Penn A,2014 Penn A,ACF Nationals 2014,14.9
Virginia A,2015 Virginia A,ACF Nationals 2015,14.82
Penn A,2015 Penn A,ACF Nationals 2015,14.64
Illinois A,2013 Illinois A,ACF Nationals 2013,14.5
Michigan A,2016 Michigan A,ACF Nationals 2016,14.4
Yale A,2012 Yale A,ACF Nationals 2012,14.33
Chicago A,2017 Chicago A,ACF Nationals 2017,14.29
Chicago A,2015 Chicago A,ACF Nationals 2015,14.18
