ppg,team,team_tournament,tournament
421.88,Virginia A,2014 Virginia A,ACF Nationals 2014
391.67,Michigan A,2016 Michigan A,ACF Nationals 2016
368.89,Chicago A,2016 Chicago A,ACF Nationals 2016
364.0,Stanford A,2010 Stanford A,ACF Nationals 2010
351.25,Michigan A,2017 Michigan A,ACF Nationals 2017
345.62,Maryland A,2017 Maryland A,ACF Nationals 2017
339.44,Yale A,2012 Yale A,ACF Nationals 2012
322.0,Yale A,2018 Yale A,ACF Nationals 2018
320.0,Penn A,2014 Penn A,ACF Nationals 2014
320.0,Virginia A,2015 Virginia A,ACF Nationals 2015
