PPG,player,ppg,team,team_tournament,tournament
103.0,Andrew Yaphe,103.0,Stanford A,2010 Andrew Yaphe,ACF Nationals 2010
66.0,Eric Mukherjee,66.0,Penn A,2010 Eric Mukherjee,ACF Nationals 2010
69.44444444444444,Eric Mukherjee,69.44,Penn A,2012 Eric Mukherjee,ACF Nationals 2012
66.0,Jacob Reed,66.0,Yale A,2018 Jacob Reed,ACF Nationals 2018
82.22222222222223,Jordan Brownstein,82.22,Maryland A,2016 Jordan Brownstein,ACF Nationals 2016
85.0,Jordan Brownstein,85.0,Maryland A,2017 Jordan Brownstein,ACF Nationals 2017
67.22222222222223,Matt Bollinger,67.22,Virginia A,2013 Matt Bollinger,ACF Nationals 2013
83.75,Matt Bollinger,83.75,Virginia A,2014 Matt Bollinger,ACF Nationals 2014
65.0,Matt Bollinger,65.0,Virginia A,2015 Matt Bollinger,ACF Nationals 2015
82.5,Matt Weiner,82.5,VCU A,2007 Matt Weiner,ACF Nationals 2007
