category,count,pacbioRun,library
aligned PacBio_amplicon,607452,Lib-1_220531,Lib-1
filtered PacBio_amplicon,117813,Lib-1_220531,Lib-1
unmapped,4685,Lib-1_220531,Lib-1
aligned PacBio_amplicon,926231,Lib-1_220710,Lib-1
filtered PacBio_amplicon,80145,Lib-1_220710,Lib-1
unmapped,101,Lib-1_220710,Lib-1
aligned PacBio_amplicon,871600,Lib-1_220711,Lib-1
filtered PacBio_amplicon,75799,Lib-1_220711,Lib-1
unmapped,124,Lib-1_220711,Lib-1
aligned PacBio_amplicon,2939400,Lib-2_220629,Lib-2
filtered PacBio_amplicon,237599,Lib-2_220629,Lib-2
unmapped,29811,Lib-2_220629,Lib-2
aligned PacBio_amplicon,2991633,Lib-3_220629,Lib-3
filtered PacBio_amplicon,236980,Lib-3_220629,Lib-3
unmapped,21441,Lib-3_220629,Lib-3
