amount,recip
95387010.99,Indonesia
297.969,Singapore
1070099.9,Colombia
22715.3,Timor-Leste
173345917.845,"Bilateral, unspecified"
93517.801,Solomon Islands
274039.9,Papua New Guinea
2047072.25,Cambodia
2111468.51,Uganda
1726181.38,"Africa, regional"
2066583.0600000003,Nicaragua
555325.0,Algeria
35630542.3,Malawi
2706811.4000000004,Mozambique
469926.4,El Salvador
5442733.15,"Congo, Dem. Rep."
216107.01,Senegal
3375431.880000001,Peru
732799.34,Burundi
219102.24,Nepal
149235.0,Benin
414359.06,Guatemala
4994800.836,Zambia
5512443.1,Guinea
865726.4999999999,Ethiopia
11468683.3,South Africa
828928.9,Zimbabwe
242745.03,"North of Sahara, regional"
752700.4,Laos
1298832.2999999998,"Asia, regional"
2528098.0,Guyana
290776.0,Bhutan
6980857.3,"N. & C. America, regional"
400142.18999999994,Honduras
8396599.7,Pakistan
17069278.299999997,Sri Lanka
136.453,Gambia
497754.13,Sierra Leone
619720.6,Haiti
4698612.0,Philippines
464285.25284699997,Madagascar
107051.20000000001,Ecuador
1706996.0599999998,Iraq
127285.44,Moldova
174076.0,Lithuania
357698.9,Botswana
58570.25,Yemen
140641.0,"South & Central Asia, regional"
670188.1,Ukraine
22872540.21,India
3926431.5089999996,Egypt
3207883.0,Mali
131824.5,Cote D'Ivoire
1402602.0,Central African Rep.
646950.3,Mexico
65180.7,Tunisia
1181660.0,Equatorial Guinea
29121938.5,Mayotte
2412554.16,Sudan
868929.0,Vanuatu
5569426.1,Nigeria
170240.28999999998,Morocco
2534950.0,Venezuela
484735.0,Guinea-Bissau
277880.9,Sao Tome & Principe
36875.6,Azerbaijan
209504.5,Ghana
1467313.5,Brazil
1911837.3800000001,Tanzania
2856063.1,"Macedonia, FYR"
10408751.97,Viet Nam
8289.8,Armenia
1065135.83,Cameroon
50056069.7,Georgia
121821.22200000001,Mongolia
212052.7,"Europe, regional"
76162.39,Croatia
140597.3,Thailand
1531.21,Bosnia-Herzegovina
674509.92,Albania
327.45,Malaysia
94862.75,Kyrgyz Republic
2409220.1,Afghanistan
18103.3,Kenya
33009.0,Belize
82132.94,Chad
4535290.359999999,"South of Sahara, regional"
18683.65,Sts Ex-Yugo. Unspec.
35797.5,Marshall Islands
193832.22999999998,Argentina
53284.345,Djibouti
3184160.63,Dominican Republic
10045.32,Togo
74.4707,Uruguay
95804.7,"Far East Asia, regional"
379929.0,Jordan
434754.64,China
31126.2,Turkey
3866420.0,Uzbekistan
500146.65,Bolivia
50710.869999999995,Angola
70556.6,Myanmar
8476780.4,Palestinian Adm. Areas
278084.3,Paraguay
867571.6,Kazakhstan
4335.83,Maldives
1251202.144009,Niger
39083.295999999995,Burkina Faso
1449360.0,Suriname
939952.6,Bangladesh
12710.9,"Oceania, regional"
612376.0,Cook Islands
561979.0,Somalia
26773.1,Cape Verde
159189.0,Chile
31286.6,Cuba
4957.7,Costa Rica
1125569.0,Mauritania
152611.0,"Congo, Rep."
743744.0,Panama
20512.6,Latvia
156411.0,"America, regional"
1219750.0,Belarus
153906.0,Tajikistan
99013.8,Poland
2790000.0,Jamaica
45890.1,Liberia
2994775.272,Serbia
1088110.0,Samoa
