City,Experience Name,Rating out of 5,User Engagement,Average Game Cost ($)
Portland,The Escape Game,4.8,350,28.5
New York,Virtual Reality Park,4.5,640,35.0
San Francisco,The Dungeon,4.6,510,30.75
Nashville,The Adventure Park,4.3,400,25.8
Austin,Puzzle Room Austin,4.5,370,22.2
Denver,Epic Escape Game,4.9,320,29.6
Chicago,Fox in a Box,4.7,690,31.95
Seattle,Ninja Escape,4.7,450,26.7
Boston,Room Escapers,4.2,480,24.3
Los Angeles,The VOID,4.8,550,38.1
Miami,PanIQ Escape Room,4.4,390,27.45
Atlanta,Mission Escape,4.6,410,26.25
