Country,Rainfall (mm),GDP per Capita (USD),Population (millions)
USA,715,63000,331
China,645,10500,1439
India,1083,2000,1380
Germany,789,50000,83
Brazil,1761,8000,213
France,867,45000,65
Canada,537,46000,38
Australia,534,54000,25
Spain,636,30000,47
Norway,1180,75000,5
Denmark,704,60000,6
Ireland,1200,83000,5
Mexico,759,9700,129
UK,854,41000,68
Italy,832,35000,60
South Korea,1370,31000,52
Russia,460,11500,144
Japan,1675,42000,126
South Africa,495,6000,60
Argentina,591,9700,45
Saudi Arabia,59,20000,34
Nigeria,1150,2100,206
