Artist,Style,Creativity,Popularity
ArtistA,Impressionism,85,70
ArtistB,Cubism,90,60
ArtistC,Surrealism,80,65
ArtistD,Abstract,75,55
ArtistE,Realism,70,80
ArtistF,Expressionism,85,75
ArtistG,Post-Impressionism,88,85
ArtistH,Pop Art,95,90
ArtistI,Dada,65,40
ArtistJ,Futurism,78,50
ArtistK,Minimalism,92,80
ArtistL,Street Art,89,95
ArtistM,Digital Art,93,88
ArtistN,Neo-Expressionism,77,65
ArtistO,Photorealism,82,70
ArtistP,Conceptual Art,86,55
ArtistQ,Installation Art,80,60
ArtistR,Graffiti,95,85
ArtistS,Video Art,88,75
ArtistT,Performance Art,90,78
