Sport,Athlete Name,Exercise Time,Calorie Burn,Average Heart Rate
Basketball,Alice,120,600,150
Soccer,Bob,90,700,160
Swimming,Charlie,60,500,140
Tennis,Diana,80,650,145
Cycling,Evan,150,800,155
Running,Faye,100,750,158
Basketball,George,110,640,148
Soccer,Hannah,95,720,162
Swimming,Ian,70,530,143
Tennis,Jade,85,670,147
Cycling,Karl,160,820,157
Running,Lily,105,760,159
Basketball,Mia,115,630,149
Soccer,Nina,100,710,161
Swimming,Oscar,75,540,144
Tennis,Paul,90,660,146
Cycling,Quinn,155,810,156
Running,Rita,110,770,160
