Demographic,Intervention,Impact,Investment ($M),Growth Potential
Children,Vaccination,95,1500,High
Elderly,Telemedicine,85,1100,Medium
Adults,Mental Health Apps,80,800,High
Teens,Anti-smoking Campaigns,70,600,Medium
Women,Prenatal Care,90,1300,High
Men,Heart Health Programs,65,900,Medium
General Population,Exercise Initiatives,75,700,Medium
Disabled,Accessibility Improvements,60,500,Low
Rural Areas,Mobile Clinics,85,1000,High
Urban Areas,Public Health Campaigns,78,950,Medium
Low-Income,Subsidized Healthcare,88,1200,High
High-Income,Preventive Screenings,67,850,Medium
Immigrants,Health Education,73,650,Medium
