Region,Innovation Index,Internet Penetration,Population,Continent
North America,8.2,88,370,Americas
South America,6.1,65,430,Americas
Europe,7.5,85,740,Europe
Asia,6.8,55,4600,Asia
Africa,4.2,35,1300,Africa
Australia,7.0,90,25,Oceania
Central America,6.3,60,180,Americas
Middle East,5.8,50,450,Asia
Eastern Europe,6.0,70,290,Europe
Southeast Asia,5.6,40,670,Asia
Caribbean,5.9,58,44,Americas
Central Asia,5.3,48,75,Asia
Northern Europe,7.8,87,100,Europe
Southern Africa,4.5,40,70,Africa
Western Asia,6.2,55,320,Asia
