Entertainment,Impact Score,User Rating,Popularity
Streaming Services,95,98,10
Video Games,90,85,9
Social Media,98,99,10
Podcasts,80,75,8
Live Concerts,93,90,10
Movies,85,70,8
Theme Parks,82,77,8
Board Games,87,82,9
Stand-Up Comedy,88,78,9
Fitness Classes,86,76,8
Music Festivals,89,83,9
Virtual Reality Games,92,60,10
Escape Rooms,84,79,8
Amusement Parks,90,65,9
Arcade Games,91,80,9
Magic Shows,88,78,8
Karaoke,85,70,8
Cooking Classes,87,82,9
Dance Classes,86,79,8
Travel Vlogging,94,72,10
Museum Tours,80,74,7
Aquarium Visits,83,78,8
Zoo Visits,85,76,8
