Region,Country,Life Expectancy,Healthcare Expenditure,Population
North America,USA,79,10000,331000000
Europe,Germany,81,5600,83000000
Asia,China,77,4200,1440000000
Africa,Nigeria,54,1000,206000000
South America,Brazil,75,3200,213000000
Oceania,Australia,83,6800,25600000
Europe,France,82,5100,67000000
Asia,Japan,84,5500,126000000
Africa,South Africa,64,3400,60000000
North America,Canada,82,7000,38000000
South America,Argentina,76,2900,45000000
Europe,Italy,83,4900,60000000
Asia,India,70,2000,1380000000
Oceania,New Zealand,82,6200,5000000
