City,GDP (in billions USD),Avg Living Cost per Month (USD),Economic Strength Rating
New York,1700,3500,4.8
Tokyo,1600,2800,4.7
Los Angeles,1000,3300,4.5
London,1400,3200,4.6
Paris,800,2900,4.4
Shanghai,600,2200,4.3
Beijing,700,2400,4.4
Sydney,500,2600,4.3
Dubai,400,3000,4.5
Singapore,450,3100,4.6
Hong Kong,350,3300,4.4
Chicago,650,2800,4.5
San Francisco,700,3400,4.7
Berlin,500,2500,4.3
Toronto,400,2600,4.2
Moscow,300,2100,4.1
São Paulo,250,2000,4.0
Buenos Aires,200,1800,3.8
Istanbul,250,2200,4.0
Mumbai,300,1500,4.1
