Figure,Influence Score,Impact Score,Legacy
Julius Caesar,95,98,10
Cleopatra,93,92,10
Alexander the Great,97,99,10
Napoleon Bonaparte,94,96,10
Genghis Khan,91,95,10
Leonardo da Vinci,89,91,9
Socrates,88,90,9
Albert Einstein,92,94,10
Isaac Newton,96,98,10
Marie Curie,90,93,9
Galileo Galilei,89,92,9
Aristotle,87,90,9
Hammurabi,86,88,8
Ramesses II,85,87,8
Hatshepsut,84,86,8
Christopher Columbus,82,85,8
Suleiman the Magnificent,83,84,8
Catherine the Great,81,83,8
William the Conqueror,80,82,7
Charlemagne,78,80,7
