Player,Pos,Comp,Progressive Passes,Expected Assists,Progressive Carries
Max Aarons,Defender,eng Premier League,2.9375,0.04375,5.4375
Che Adams,Forward,eng Premier League,1.5418502202643172,0.1145374449339207,2.026431718061674
Rayan Ait Nouri,Defender,eng Premier League,2.413793103448276,0.06403940886699508,5.812807881773399
Kristoffer Ajer,Defender,eng Premier League,3.3783783783783785,0.06306306306306306,3.2882882882882885
Thiago Alcantara,Midfielder,eng Premier League,10.294117647058824,0.13529411764705881,9.588235294117647
Trent Alexander-Arnold,Defender,eng Premier League,8.769716088328076,0.3533123028391167,4.921135646687698
Allan,Midfielder,eng Premier League,4.362139917695473,0.037037037037037035,4.362139917695473
Miguel Almiron,Winger,eng Premier League,1.9895287958115182,0.03664921465968586,4.031413612565444
Marcos Alonso,Defender,eng Premier League,4.439834024896265,0.19087136929460577,5.1037344398340245
Daniel Amartey,Defender,eng Premier League,2.5,0.00847457627118644,2.542372881355932
Joachim Andersen,Defender,eng Premier League,2.8703703703703707,0.05555555555555556,1.9753086419753088
Michail Antonio,Forward,eng Premier League,1.303030303030303,0.19999999999999998,4.03030303030303
Jordan Ayew,Forward,eng Premier League,2.142857142857143,0.10267857142857142,6.517857142857143
Luke Ayling,Defender,eng Premier League,4.9603174603174605,0.03174603174603175,4.166666666666667
Cesar Azpilicueta,Defender,eng Premier League,5.391304347826087,0.09130434782608696,6.782608695652174
Harvey Barnes,Winger,eng Premier League,3.1759656652360513,0.17167381974248927,8.49785407725322
Jan Bednarek,Defender,eng Premier League,1.7465753424657535,0.02054794520547945,0.9246575342465754
Said Benrahma,Winger,eng Premier League,2.5311203319502074,0.13278008298755187,5.352697095435684
Yves Bissouma,Midfielder,eng Premier League,2.2127659574468086,0.03404255319148936,4.340425531914893
Jarrod Bowen,Forward,eng Premier League,1.6012084592145015,0.17220543806646527,3.927492447129909
Armando Broja,Forward,eng Premier League,0.8219178082191781,0.05936073059360731,3.6073059360730597
Josh Brownhill,Midfielder,eng Premier League,2.804878048780488,0.07621951219512196,2.103658536585366
Emi Buendia,Winger,eng Premier League,5.118483412322274,0.2606635071090047,5.829383886255924
Joao Cancelo,Defender,eng Premier League,7.632311977715878,0.14206128133704735,10.139275766016713
Sergi Canos,Defender,eng Premier League,3.333333333333333,0.08225108225108224,4.891774891774891
Matty Cash,Defender,eng Premier League,2.4266666666666667,0.050666666666666665,3.9466666666666668
Timothy Castagne,Defender,eng Premier League,2.923728813559322,0.05508474576271186,3.2203389830508473
Craig Cathcart,Defender,eng Premier League,1.5037593984962405,0.011278195488721804,0.48872180451127817
Tom Cleverley,Midfielder,eng Premier League,2.388888888888889,0.1111111111111111,1.0
Conor Coady,Defender,eng Premier League,1.1796246648793567,0.0,0.9115281501340483
Seamus Coleman,Defender,eng Premier League,2.847457627118644,0.03728813559322034,2.9491525423728815
Nathan Collins,Defender,eng Premier League,2.419354838709677,0.04838709677419355,1.3978494623655913
Liam Cooper,Defender,eng Premier League,2.1782178217821784,0.0049504950495049506,0.9900990099009901
Jack Cork,Midfielder,eng Premier League,2.096774193548387,0.005376344086021505,1.6666666666666665
Maxwel Cornet,Winger,eng Premier League,1.173469387755102,0.07653061224489795,2.6020408163265305
Vladimir Coufal,Defender,eng Premier League,4.285714285714286,0.09795918367346938,3.795918367346939
Aaron Cresswell,Defender,eng Premier League,5.115511551155115,0.10561056105610561,3.6303630363036303
Marc Cucurella,Defender,eng Premier League,5.102040816326531,0.07871720116618076,6.005830903790088
Stuart Dallas,Wingback,eng Premier League,3.9506172839506175,0.07407407407407407,4.753086419753086
Diogo Dalot,Defender,eng Premier League,4.95,0.05,4.9
