country,FIFA_rank_2021,HDI_2021,Population_2021
Albania,1346.01,0.796,2811666
Algeria,1288.27,0.745,44616626
Andorra,751.46,0.858,77354
Angola,1041.91,0.586,33933611
Antigua and Barbuda,804.42,0.788,98728
Argentina,1660.37,0.842,45808747
Armenia,1072.97,0.759,2968128
Australia,1906.2,0.951,25739256
Austria,1813.37,0.916,8956279
Azerbaijan,1274.5,0.745,10145212
Bahrain,1254.12,0.875,1748295
Bangladesh,1017.16,0.661,166303494
Barbados,966.8,0.79,287708
Belarus,1457.75,0.808,9340314
Belgium,1823.83,0.937,11587882
Belize,839.85,0.683,404915
Benin,1020.94,0.525,12451031
Bhutan,769.0,0.666,779900
Bolivia,1213.1,0.692,11832936
Bosnia and Herzegovina,1385.2,0.78,3263459
Botswana,979.35,0.693,2397240
Brazil,1975.82,0.754,213993441
Bulgaria,1229.79,0.795,6899125
Burkina Faso,1050.87,0.449,21497097
Burundi,799.08,0.426,12255429
Cote d'Ivoire,1379.39,0.55,27053629
Cambodia,1142.14,0.593,16946446
Cameroon,1417.44,0.576,27224262
Canada,1986.51,0.936,38246108
Chile,1580.9,0.855,19212362
China PR,1862.87,0.768,1412360000
Colombia,1700.4,0.752,51265841
Comoros,733.0,0.558,888456
Congo,1161.46,0.571,5657017
Congo DR,1159.0,0.479,92377986
Costa Rica,1612.44,0.809,5139053
Croatia,1404.39,0.858,3899000
Cuba,1217.56,0.764,11317498
Cyprus,1123.46,0.896,1215588
Czechia,1675.21,0.889,10703446
Denmark,1855.49,0.948,5856733
Dominica,910.74,0.72,72172
Dominican Republic,1173.44,0.767,10953714
Ecuador,1377.83,0.74,17888474
Egypt,1228.15,0.731,104258327
El Salvador,1148.88,0.675,6518500
Equatorial Guinea,1344.47,0.596,1449891
Estonia,1180.34,0.89,1329254
Eswatini,807.89,0.597,1172369
Ethiopia,1117.66,0.498,117876226
Fiji,1345.58,0.73,902899
Finland,1669.24,0.94,5541696
France,2037.69,0.903,67499343
Gabon,1079.87,0.706,2278829
Gambia,1124.04,0.5,2486937
Georgia,1118.09,0.802,3708610
Germany,2059.75,0.942,83129285
Ghana,1416.77,0.632,31732128
Greece,1409.31,0.887,10664568
Grenada,849.17,0.795,113015
Guatemala,1259.69,0.627,17109746
Guinea,1078.56,0.465,13497237
Guinea-Bissau,835.18,0.483,2015490
Guyana,1247.77,0.714,790329
Haiti,1445.71,0.535,11541683
Honduras,1145.7,0.621,10062994
Hong Kong,1314.35,0.952,7413100
Hungary,1538.35,0.846,9709886
Iceland,1870.66,0.959,372295
India,1425.51,0.633,1393409033
Indonesia,1209.02,0.705,276361788
IR Iran,1364.73,0.774,85028760
Israel,1365.34,0.919,9364000
Italy,1868.29,0.895,59066225
Jamaica,1543.93,0.709,2973462
Japan,1917.07,0.925,125681593
Jordan,1377.44,0.72,10269022
Kazakhstan,1234.3,0.811,19002586
Kenya,991.78,0.575,54985702
Korea Republic,1850.09,0.925,51744876
Kyrgyz Republic,1120.59,0.692,6694200
Laos,1257.98,0.607,7379358
Latvia,1168.47,0.863,1883162
Lebanon,1032.23,0.706,6769151
Lesotho,842.0,0.514,2159067
Liberia,891.31,0.481,5180208
Lithuania,1219.51,0.875,2795321
Luxembourg,1150.79,0.93,639070
Madagascar,691.0,0.501,28427333
Malawi,942.66,0.512,19647681
Malaysia,1231.94,0.803,32776195
Maldives,952.73,0.747,543620
Mali,1273.24,0.428,20855724
Malta,1231.0,0.918,516869
Mauritius,363.36,0.802,1266060
Mexico,1628.95,0.758,130262220
Moldova,1170.7,0.767,2573928
Mongolia,1111.95,0.739,3329282
Montenegro,1251.28,0.832,620173
Morocco,1315.41,0.683,37344787
Mozambique,815.14,0.446,32163045
Myanmar,1517.95,0.585,54806014
Namibia,1020.53,0.615,2587344
Nepal,1196.73,0.602,29674920
Netherlands,2002.99,0.941,17533405
New Zealand,1741.94,0.937,5122600
Nicaragua,1157.63,0.667,6702379
Niger,877.93,0.4,25130810
Nigeria,1535.09,0.535,211400704
North Macedonia,1082.42,0.77,2065092
Norway,1889.96,0.961,5408320
Panama,1425.65,0.805,4381583
Papua New Guinea,1512.43,0.558,9119005
Paraguay,1510.53,0.717,7219641
Peru,1334.47,0.762,33359416
Philippines,1479.91,0.699,111046910
Poland,1647.92,0.876,37781024
Portugal,1688.06,0.866,10299423
Republic of Ireland,1695.26,0.945,5028230
Romania,1574.3,0.821,19115146
Russia,1717.04,0.822,143446060
Rwanda,894.87,0.534,13276517
Samoa,1212.01,0.707,200144
Senegal,1258.35,0.511,17196308
Serbia,1630.68,0.802,6844078
Seychelles,884.64,0.785,99202
Sierra Leone,1073.89,0.477,8141343
Singapore,1088.77,0.939,5453566
Slovakia,1541.41,0.848,5447247
Slovenia,1536.95,0.918,2107007
Solomon Islands,1181.11,0.564,703995
South Africa,1464.36,0.713,60041996
South Sudan,649.69,0.385,11381377
