Date,Calories
2023-01-01,2200
2023-01-02,2500
2023-01-03,2100
2023-01-04,2800
2023-01-05,2300
2023-01-06,2400
2023-01-07,2700
2023-01-08,2900
2023-01-09,2500
2023-01-10,2000
2023-01-11,3000
2023-01-12,2800
2023-01-13,2700
2023-01-14,3200
2023-01-15,3100
2023-01-16,3300
2023-01-17,3400
2023-01-18,3500
2023-01-19,3100
2023-01-20,3200
2023-01-21,3600
2023-01-22,3700
2023-01-23,3800
2023-01-24,3900
2023-01-25,4000
2023-01-26,3500
2023-01-27,3600
2023-01-28,3700
2023-01-29,3800
2023-01-30,3900
2023-01-31,4000
2023-02-01,4100
2023-02-02,4200
2023-02-03,4300
2023-02-04,4400
2023-02-05,4500
2023-02-06,4600
2023-02-07,4700
2023-02-08,4800
